Deflection_X_mm,Force_N,Theta2_deg,Theta3_deg
-0,-3.19555418933249e-16,30,330
2.22222222222223,3.60930979472894,31.1131113576633,328.886888642337
4.44444444444446,6.89229537091787,32.1914885180332,327.808511481967
6.66666666666666,9.89960598099502,33.2385433123089,326.761456687691
8.88888888888889,12.6716349677472,34.2571783709361,325.742821629064
11.1111111111111,15.2410444002704,35.2498875642287,324.750112435771
13.3333333333333,17.6345697224899,36.2188323417124,323.781167658288
15.5555555555555,19.8743351005449,37.1659006808613,322.834099319139
17.7777777777778,21.9788288786625,38.0927532538438,321.907246746156
20,23.9636382748566,39.0008600437737,320.999139956226
